net,length_um
_0709_,46.28µm
_0432_,45.98µm
_0113_,45.9µm
_0944_,45.8µm
_0700_,45.46µm
net37,45.26µm
_0908_,45.24µm
_0731_,44.9µm
net26,44.84µm
_0374_,44.24µm
_0422_,44.16µm
_0299_,43.84µm
_0172_,43.66µm
_0413_,43.52µm
_0208_,43.34µm
net34,43.18µm
_0352_,43.14µm
_0696_,43.075µm
_0121_,42.64µm
y[18],42.61µm
_0223_,42.6µm
_0708_,42.34µm
_0127_,42.2µm
_0125_,42.04µm
net29,41.72µm
_0368_,41.52µm
_0177_,41.42µm
_0220_,41.36µm
_0354_,41.27µm
_0094_,40.86µm
_0391_,40.84µm
_0792_,40.81µm
_0439_,40.66µm
_0124_,40.62µm
net44,40.515µm
x[24],40.49µm
_0247_,40.45µm
_0306_,40.38µm
_0211_,40.28µm
_0375_,40.28µm
_0834_,40.16µm
_0840_,40.02µm
_0331_,39.88µm
result[31],39.87µm
_0732_,39.74µm
_0574_,39.7µm
_0691_,39.7µm
_0337_,39.46µm
_0115_,39.34µm
_0311_,39.325µm
_0140_,39.24µm
_0821_,38.94µm
_0417_,38.88µm
_0712_,38.84µm
_0771_,38.75µm
_0833_,38.56µm
_0690_,38.445µm
_0419_,38.34µm
_0798_,38.17µm
_0741_,38.12µm
_0246_,38.1µm
_0001_,38.04µm
y[27],37.95µm
_0463_,37.94µm
_0713_,37.9µm
_0044_,37.82µm
_0748_,37.5µm
_0682_,37.46µm
_0801_,37.4µm
_0411_,37.38µm
_0822_,37.32µm
_0406_,37.29µm
_0248_,37.2µm
net33,37.09µm
net72,36.98µm
_0318_,36.76µm
_0069_,36.75µm
_0448_,36.54µm
_0392_,36.52µm
_0420_,36.51µm
_0134_,36.44µm
_0212_,36.4µm
_0416_,36.2µm
_0924_,36.12µm
_0495_,36.1µm
_0230_,36.06µm
_0084_,35.85µm
y[26],35.55µm
_0596_,35.5µm
_0746_,35.32µm
_0213_,35.22µm
_0263_,35.02µm
_0458_,35.01µm
result[27],34.83µm
_0366_,34.4µm
_0450_,34.32µm
net84,34.3µm
_0383_,34.22µm
_0111_,34.19µm
_0286_,34.14µm
_0435_,34.13µm
_0945_,34.08µm
_0117_,34.06µm
_0011_,34µm
_0937_,33.76µm
_0947_,33.74µm
_0340_,33.72µm
_0537_,33.72µm
_0580_,33.6µm
_0170_,33.54µm
_0728_,33.5µm
net38,33.48µm
_0693_,33.46µm
_0587_,33.42µm
_0480_,33.39µm
_0317_,33.36µm
_0107_,33.09µm
_0688_,33.02µm
_0534_,32.92µm
_0310_,32.63µm
_0504_,32.6µm
_0735_,32.6µm
net63,32.56µm
_0926_,32.48µm
_0345_,32.26µm
_0541_,32.14µm
_0078_,32.06µm
_0031_,32.05µm
_0720_,32.01µm
_0390_,32µm
_0249_,31.73µm
_0577_,31.68µm
_0403_,31.66µm
_0195_,31.65µm
_0529_,31.62µm
_0501_,31.51µm
_0312_,31.48µm
_0116_,31.34µm
_0469_,31.24µm
net62,31.095µm
_0173_,30.88µm
_0831_,30.87µm
net57,30.84µm
_0724_,30.8µm
_0723_,30.6µm
_0932_,30.38µm
_0423_,30.34µm
_0288_,30.3µm
_0533_,30.02µm
_0254_,29.94µm
_0381_,29.88µm
_0824_,29.815µm
_0145_,29.8µm
_0003_,29.74µm
y[25],29.69µm
_0219_,29.63µm
_0206_,29.62µm
_0467_,29.62µm
_0933_,29.62µm
_0823_,29.545µm
_0786_,29.4µm
_0738_,29.26µm
_0680_,29.255µm
_0427_,29.2µm
_0466_,29.12µm
_0689_,29.08µm
_0004_,28.98µm
net2,28.955µm
_0550_,28.8µm
_0110_,28.72µm
_0424_,28.64µm
net61,28.64µm
y[24],28.45µm
_0128_,28.44µm
_0330_,28.245µm
_0465_,27.96µm
_0804_,27.94µm
net108,27.62µm
x[25],27.39µm
_0357_,27.38µm
_0655_,27.36µm
_0460_,27.32µm
_0473_,27.22µm
_0490_,27.22µm
_0525_,27.2µm
_0551_,26.905µm
y[23],26.79µm
_0605_,26.78µm
_0269_,26.68µm
_0916_,26.52µm
_0929_,26.34µm
_0305_,26.29µm
_0233_,26.26µm
_0361_,26.18µm
_0664_,26.14µm
x[29],26.07µm
_0827_,25.965µm
_0389_,25.96µm
_0395_,25.72µm
_0405_,25.7µm
_0370_,25.68µm
_0610_,25.64µm
_0297_,25.59µm
_0797_,25.58µm
_0449_,25.44µm
_0584_,25.44µm
_0825_,25.245µm
_0615_,25.24µm
_0108_,25.22µm
_0064_,25.16µm
_0813_,25.14µm
_0805_,25.09µm
_0255_,25µm
_0324_,24.98µm
_0079_,24.96µm
_0307_,24.96µm
_0442_,24.95µm
_0244_,24.88µm
_0640_,24.85µm
_0261_,24.82µm
_0503_,24.76µm
_0267_,24.72µm
_0681_,24.57µm
_0315_,24.56µm
_0412_,24.54µm
_0109_,24.48µm
_0245_,24.36µm
_0554_,24.24µm
_0600_,24µm
_0271_,23.98µm
result[28],23.9µm
_0488_,23.84µm
_0497_,23.83µm
_0027_,23.74µm
net109,23.68µm
_0740_,23.52µm
_0747_,23.5µm
_0461_,23.43µm
_0770_,23.36µm
_0141_,23.26µm
_0935_,23.24µm
_0547_,23.045µm
_0479_,23.02µm
_0699_,23.02µm
_0407_,23µm
_0645_,22.86µm
_0799_,22.78µm
_0012_,22.72µm
_0095_,22.72µm
_0216_,22.7µm
x[23],22.63µm
_0042_,22.54µm
_0590_,22.54µm
net12,22.42µm
_0106_,22.38µm
_0379_,22µm
_0787_,22µm
result[22],21.92µm
